League,Date,HomeTeam,AwayTeam,FTHG,FTAG,HC,AC,HY,AY,HR,AR,HS,AS,year_month
Friendly,2024-04-26,Grenada,Saint Vincent and the Grenadines,0.0,3.0,,,,,,,,,2024-04
Friendly,2024-04-26,Guatemala,Nicaragua,1.0,1.0,,,,,,,,,2024-04
Friendly,2024-04-16,Trinidad and Tobago,Guyana,2.0,0.0,,,,,,,,,2024-04
Friendly,2024-04-14,Trinidad and Tobago,Guyana,2.0,1.0,,,,,,,,,2024-04
Marianas Cup,2024-04-07,Northern Mariana Islands,Guam,2.0,1.0,,,,,,,,,2024-04
Marianas Cup,2024-04-06,Northern Mariana Islands,Guam,2.0,2.0,,,,,,,,,2024-04
