League,LeagueId,Country,Round,EsEliminatoria,Date,HomeTeamId,AwayTeamId,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR,HS,AS,Referee
League 1,,,,False,2026-01-31,1333.0,68.0,AFC Wimbledon,Bolton,0.0,1.0,,,5.0,4.0,1.0,1.0,0.0,0.0,15.0,16.0,Desconocido
Eredivisie,88.0,,,False,2026-01-31,201.0,,AZ Alkmaar,Nijmegen,1.0,3.0,,,3.0,3.0,1.0,2.0,0.0,0.0,11.0,19.0,Desconocido
League 2,,,,False,2026-01-31,,1372.0,Accrington,Cheltenham,3.0,1.0,,,10.0,8.0,1.0,2.0,0.0,0.0,16.0,13.0,Desconocido
Turkey Super Lig,,,,False,2026-01-31,996.0,,Alanyaspor,Eyupspor,1.0,3.0,,,2.0,3.0,2.0,1.0,0.0,0.0,17.0,13.0,Desconocido
La Liga 2,,,,False,2026-01-31,722.0,732.0,Albacete,Zaragoza,2.0,0.0,,,6.0,4.0,2.0,3.0,0.0,0.0,10.0,8.0,Desconocido
League 1 Escocia,,,,False,2026-01-31,,6763.0,Alloa,Cove Rangers,2.0,2.0,,,3.0,8.0,0.0,1.0,0.0,0.0,10.0,10.0,Desconocido
Primeira Liga,94.0,,,False,2026-01-31,4724.0,15130.0,Alverca,Estrela,1.0,1.0,,,9.0,2.0,1.0,2.0,0.0,0.0,8.0,5.0,Desconocido
League 2 Escocia,,,,False,2026-01-31,6757.0,6762.0,Annan Athletic,Clyde,1.0,1.0,,,9.0,4.0,3.0,1.0,0.0,0.0,11.0,14.0,Desconocido
Super League Greece,,,,False,2026-01-31,12260.0,,Atromitos,OFI Crete,1.0,2.0,,,8.0,2.0,2.0,3.0,0.0,0.0,15.0,6.0,Desconocido
Bundesliga,218.0,,,False,2026-01-31,,,Augsburg,St Pauli,2.0,1.0,,,5.0,5.0,3.0,1.0,0.0,0.0,12.0,17.0,Desconocido
Serie B,72.0,,,False,2026-01-31,528.0,509.0,Avellino,Cesena,3.0,1.0,,,7.0,4.0,1.0,2.0,0.0,0.0,11.0,11.0,Desconocido
Championship Escocia,,,,False,2026-01-31,,,Ayr,Raith Rvs,2.0,1.0,,,2.0,8.0,7.0,1.0,0.0,0.0,4.0,12.0,Desconocido
League 1,,,,False,2026-01-31,747.0,1368.0,Barnsley,Stevenage,3.0,1.0,,,3.0,7.0,3.0,2.0,0.0,0.0,12.0,11.0,Desconocido
Turkey Super Lig,,,,False,2026-01-31,,607.0,Besiktas,Konyaspor,2.0,1.0,,,8.0,2.0,2.0,6.0,1.0,0.0,22.0,9.0,Desconocido
Championship,407.0,,,False,2026-01-31,67.0,,Blackburn,Hull,0.0,1.0,,,8.0,4.0,2.0,0.0,0.0,0.0,9.0,12.0,Desconocido
Bundesliga 2,,,,False,2026-01-31,,,Bochum,Schalke 04,2.0,0.0,,,2.0,4.0,4.0,0.0,0.0,0.0,10.0,12.0,Desconocido
National League,43.0,,,False,2026-01-31,1830.0,,Boreham Wood,Boston Utd,1.0,2.0,,,,,2.0,1.0,2.0,0.0,,,Desconocido
League 1,,,,False,2026-01-31,1343.0,1354.0,Bradford,Doncaster,1.0,0.0,,,8.0,3.0,2.0,1.0,0.0,0.0,9.0,9.0,Desconocido
National League,43.0,,,False,2026-01-31,,1822.0,Braintree Town,Eastleigh,2.0,1.0,,,,,4.0,2.0,0.0,0.0,,,Desconocido
Bundesliga 2,,,,False,2026-01-31,,,Braunschweig,Karlsruhe,1.0,0.0,,,6.0,4.0,4.0,5.0,0.0,0.0,14.0,9.0,Desconocido
Premier League,569.0,,,False,2026-01-31,51.0,45.0,Brighton,Everton,1.0,1.0,,,5.0,2.0,1.0,2.0,0.0,0.0,11.0,7.0,Desconocido
