League,LeagueId,Country,Round,EsEliminatoria,Date,HomeTeamId,AwayTeamId,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR,HS,AS,Referee
African Cup of Nations,,,,False,2024-02-11,1501.0,,Ivory Coast,Nigeria,2.0,1.0,,,,,,,,,,,Desconocido
AFC Asian Cup,,,,False,2024-02-10,1569.0,,Qatar,Jordan,3.0,1.0,,,,,,,,,,,Desconocido
African Cup of Nations,,,,False,2024-02-10,,,South Africa,DR Congo,0.0,0.0,,,,,,,,,,,Desconocido
African Cup of Nations,,,,False,2024-02-07,1501.0,,Ivory Coast,DR Congo,1.0,0.0,,,,,,,,,,,Desconocido
African Cup of Nations,6,World,,False,2024-02-07,19,1531,Nigeria,South Africa,1.0,1.0,,,,,,,,,,,Amin Omar
AFC Asian Cup,,,,False,2024-02-07,1569.0,22.0,Qatar,Iran,3.0,2.0,,,,,,,,,,,Desconocido
AFC Asian Cup,7,World,,False,2024-02-06,1548,17,Jordan,South Korea,2.0,0.0,,,,,,,,,,,Mohamed Abdulla Hassan Mohd
African Cup of Nations,,,,False,2024-02-03,,,Cape Verde,South Africa,0.0,0.0,,,,,,,,,,,Desconocido
Friendly,,,,False,2024-02-03,29.0,,Costa Rica,El Salvador,2.0,0.0,,,,,,,,,,,Desconocido
AFC Asian Cup,7,World,,False,2024-02-03,22,12,Iran,Japan,2.0,1.0,,,,,,,,,,,Ma Ning
African Cup of Nations,,,,False,2024-02-03,1501.0,,Ivory Coast,Mali,2.0,1.0,,,,,,,,,,,Desconocido
AFC Asian Cup,7,World,,False,2024-02-03,1569,1568,Qatar,Uzbekistan,1.0,1.0,,,,,,,,,,,Kim Hee-Gon
AFC Asian Cup,7,World,,False,2024-02-02,20,17,Australia,South Korea,1.0,2.0,,,,,,,,,,,Ahmed Al Kaf
African Cup of Nations,,,,False,2024-02-02,,,DR Congo,Guinea,3.0,1.0,,,,,,,,,,,Desconocido
African Cup of Nations,6,World,,False,2024-02-02,19,1529,Nigeria,Angola,1.0,0.0,,,,,,,,,,,I. Sy
AFC Asian Cup,7,World,,False,2024-02-02,1536,1548,Tajikistan,Jordan,0.0,1.0,,,,,,,,,,,Fu Ming
