League,LeagueId,Country,Round,EsEliminatoria,Date,HomeTeamId,AwayTeamId,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR,HS,AS,Referee
Super League Greece,,,,False,2025-08-31,,955.0,AEK,Asteras Tripolis,1.0,0.0,,,5.0,3.0,3.0,2.0,0.0,0.0,15.0,4.0,Desconocido
Premiership Escocia,179,Scotland,,False,2025-08-31,252,1389,Aberdeen,Falkirk,0.0,1.0,,,5.0,6.0,3.0,5.0,1.0,0.0,12.0,19.0,"Ross Hardie, Scotland"
Turkey Super Lig,,,,False,2025-08-31,996.0,,Alanyaspor,Besiktas,2.0,0.0,,,2.0,6.0,1.0,3.0,0.0,0.0,9.0,15.0,Desconocido
Primeira Liga,94.0,,,False,2025-08-31,4724.0,211.0,Alverca,Benfica,1.0,2.0,,,5.0,2.0,4.0,6.0,0.0,1.0,11.0,6.0,Desconocido
La Liga 2,,,,False,2025-08-31,1110.0,9580.0,Andorra,Burgos,2.0,1.0,,,5.0,4.0,1.0,2.0,0.0,0.0,14.0,12.0,Desconocido
Ligue 1,61.0,,,False,2025-08-31,77.0,94.0,Angers,Rennes,1.0,1.0,,,1.0,7.0,2.0,2.0,0.0,0.0,10.0,15.0,Desconocido
Premier League,569.0,,,False,2025-08-31,66.0,52.0,Aston Villa,Crystal Palace,0.0,3.0,,,10.0,1.0,2.0,3.0,0.0,0.0,13.0,6.0,Desconocido
Serie B,72.0,,,False,2025-08-31,508.0,1579.0,Bari,Monza,1.0,1.0,,,3.0,6.0,2.0,4.0,0.0,0.0,20.0,13.0,Desconocido
La Liga,140.0,,,False,2025-08-31,,,Betis,Ath Bilbao,1.0,2.0,,,4.0,10.0,1.0,4.0,0.0,1.0,9.0,15.0,Desconocido
Premier League,569.0,,,False,2025-08-31,51.0,,Brighton,Man City,2.0,1.0,,,3.0,2.0,2.0,2.0,0.0,0.0,12.0,12.0,Desconocido
Turkey Super Lig,,,,False,2025-08-31,,,Buyuksehyr,Eyupspor,0.0,0.0,,,5.0,4.0,4.0,5.0,0.0,0.0,10.0,12.0,Desconocido
La Liga 2,141,Spain,,False,2025-08-31,724,722,Cadiz,Albacete,2.0,1.0,,,7.0,4.0,4.0,3.0,0.0,1.0,6.0,12.0,M. Gonzalez
Serie B,72.0,,,False,2025-08-31,1581.0,870.0,Carrarese,Padova,0.0,0.0,,,4.0,2.0,3.0,3.0,0.0,1.0,16.0,11.0,Desconocido
