League,LeagueId,Country,Round,EsEliminatoria,Date,HomeTeamId,AwayTeamId,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR,HS,AS,Referee
African Cup of Nations,6,World,,False,2025-12-31,1521,1532,Equatorial Guinea,Algeria,1.0,3.0,,,,,,,,,,,"Pacifique Ndabihawenimana, Burundi"
African Cup of Nations,6,World,,False,2025-12-31,1503,1501,Gabon,Ivory Coast,2.0,3.0,,,,,,,,,,,"Omar Abdulkadir Artan, Somalia"
African Cup of Nations,6,World,,False,2025-12-31,1512,1530,Mozambique,Cameroon,1.0,2.0,,,,,,,,,,,"Jalal Jayed, Morocco"
African Cup of Nations,6,World,,False,2025-12-31,1510,1502,Sudan,Burkina Faso,0.0,2.0,,,,,,,,,,,"Amin Mohamed Omar, Egypt"
National League,43.0,,,False,2025-12-30,,8663.0,Aldershot,Wealdstone,4.0,1.0,,,,,1.0,3.0,0.0,0.0,,,Desconocido
National League,43.0,,,False,2025-12-30,4700.0,1828.0,Altrincham,York,1.0,2.0,,,,,0.0,1.0,1.0,0.0,,,Desconocido
Premier League,569.0,,,False,2025-12-30,9419.0,66.0,Arsenal,Aston Villa,4.0,1.0,,,3.0,3.0,2.0,3.0,0.0,0.0,22.0,11.0,Desconocido
African Cup of Nations,6,World,,False,2025-12-30,1516,13,Benin,Senegal,0.0,3.0,,,,,,,,,,,"Samuel Uwikunda, Rwanda"
National League,43.0,,,False,2025-12-30,1830.0,,Boreham Wood,Solihull,2.0,1.0,,,,,2.0,0.0,0.0,0.0,,,Desconocido
National League,43.0,,,False,2025-12-30,,4701.0,Boston Utd,Brackley Town,1.0,2.0,,,,,2.0,5.0,0.0,0.0,,,Desconocido
African Cup of Nations,,,,False,2025-12-30,1520.0,,Botswana,DR Congo,0.0,3.0,,,,,,,,,,,Desconocido
Premier League,569.0,,,False,2025-12-30,44.0,34.0,Burnley,Newcastle,1.0,3.0,,,3.0,4.0,2.0,1.0,0.0,0.0,15.0,20.0,Desconocido
National League,43.0,,,False,2025-12-30,1371.0,1375.0,Carlisle,Morecambe,1.0,0.0,,,,,1.0,3.0,0.0,0.0,,,Desconocido
Premier League,569.0,,,False,2025-12-30,49.0,35.0,Chelsea,Bournemouth,2.0,2.0,,,12.0,3.0,1.0,1.0,0.0,0.0,17.0,17.0,Desconocido
Premiership Escocia,179,Scotland,,False,2025-12-30,253,250,Dundee,Kilmarnock,2.0,1.0,,,7.0,5.0,2.0,4.0,0.0,0.0,26.0,8.0,N. Walsh
National League,43.0,,,False,2025-12-30,1378.0,,Forest Green,Truro,1.0,1.0,,,,,2.0,4.0,0.0,0.0,,,Desconocido
Premiership Escocia,179,Scotland,,False,2025-12-30,249,252,Hibernian,Aberdeen,2.0,0.0,,,4.0,5.0,1.0,2.0,0.0,0.0,20.0,8.0,D. McFarlane
Premiership Escocia,,,,False,2025-12-30,255.0,,Livingston,Dundee United,1.0,3.0,,,2.0,7.0,4.0,0.0,0.0,0.0,10.0,22.0,Desconocido
Premier League,569.0,,,False,2025-12-30,,39.0,Man United,Wolves,1.0,1.0,,,8.0,4.0,0.0,2.0,0.0,0.0,15.0,11.0,Desconocido
Premiership Escocia,179,Scotland,,False,2025-12-30,256,247,Motherwell,Celtic,2.0,0.0,,,1.0,3.0,0.0,4.0,0.0,0.0,11.0,8.0,K. Clancy
Premier League,569.0,,,False,2025-12-30,,45.0,Nott'm Forest,Everton,0.0,2.0,,,9.0,2.0,1.0,0.0,0.0,0.0,21.0,11.0,Desconocido
Premiership Escocia,,,,False,2025-12-30,257.0,,Rangers,St Mirren,2.0,1.0,,,5.0,4.0,1.0,2.0,0.0,0.0,16.0,10.0,Desconocido
National League,43.0,,,False,2025-12-30,1339.0,1366.0,Rochdale,Hartlepool,1.0,2.0,,,,,0.0,0.0,0.0,0.0,,,Desconocido
National League,43.0,,,False,2025-12-30,1340.0,1823.0,Scunthorpe,Gateshead,2.0,0.0,,,,,2.0,1.0,0.0,1.0,,,Desconocido
National League,43.0,,,False,2025-12-30,1341.0,,Southend,Sutton,1.0,0.0,,,,,2.0,3.0,0.0,0.0,,,Desconocido
National League,43.0,,,False,2025-12-30,7752.0,,Tamworth,Halifax,0.0,2.0,,,,,1.0,3.0,0.0,0.0,,,Desconocido
African Cup of Nations,6,World,,False,2025-12-30,1489,28,Tanzania,Tunisia,1.0,1.0,,,,,,,,,,,"Ndala Ngambo, DR Congo"
African Cup of Nations,6,World,,False,2025-12-30,1519,19,Uganda,Nigeria,1.0,3.0,,,,,,,,,,,"Djindo Louis Houngnandande, Benin"
Premier League,569.0,,,False,2025-12-30,48.0,51.0,West Ham,Brighton,2.0,2.0,,,5.0,5.0,3.0,5.0,0.0,0.0,10.0,16.0,Desconocido
National League,43.0,,,False,2025-12-30,1836.0,,Woking,Braintree Town,0.0,1.0,,,,,1.0,1.0,0.0,0.0,,,Desconocido
National League,43.0,,,False,2025-12-30,,1822.0,Yeovil,Eastleigh,1.0,1.0,,,,,5.0,3.0,0.0,0.0,,,Desconocido
League 1,,,,False,2025-12-29,1333.0,,AFC Wimbledon,Exeter,0.0,1.0,,,7.0,5.0,3.0,4.0,0.0,0.0,11.0,10.0,Desconocido
League 2,,,,False,2025-12-29,,,Accrington,Harrogate,1.0,0.0,,,8.0,3.0,1.0,0.0,0.0,1.0,25.0,7.0,Desconocido
African Cup of Nations,6,World,,False,2025-12-29,1529,32,Angola,Egypt,0.0,0.0,,,,,,,,,,,"Clement Franklin Kpan, Côte d'Ivoire"
League 1,41,England,,False,2025-12-29,747,1379,Barnsley,Lincoln,0.0,2.0,,,5.0,2.0,4.0,2.0,0.0,0.0,14.0,8.0,"Paul Howard, England"
Championship,407.0,,,False,2025-12-29,54.0,41.0,Birmingham,Southampton,1.0,1.0,,,2.0,5.0,1.0,2.0,0.0,0.0,20.0,13.0,Desconocido
League 1,41,England,,False,2025-12-29,1356,73,Blackpool,Rotherham,4.0,0.0,,,6.0,3.0,1.0,2.0,0.0,1.0,14.0,11.0,"Oliver Yates, England"
League 1,,,,False,2025-12-29,68.0,,Bolton,Mansfield,0.0,1.0,,,14.0,2.0,2.0,3.0,0.0,0.0,22.0,7.0,Desconocido
League 1,41,England,,False,2025-12-29,1343,1351,Bradford,Port Vale,1.0,0.0,,,11.0,3.0,3.0,3.0,0.0,0.0,15.0,7.0,"Scott Oldham, England"
League 2,,,,False,2025-12-29,,1369.0,Bristol Rvs,Barnet,0.0,2.0,,,3.0,5.0,3.0,2.0,0.0,0.0,7.0,10.0,Desconocido
League 1,,,,False,2025-12-29,,61.0,Burton,Wigan,0.0,2.0,,,8.0,1.0,0.0,1.0,0.0,0.0,16.0,10.0,Desconocido
League 1,41,England,,False,2025-12-29,43,1368,Cardiff,Stevenage,2.0,1.0,,,6.0,4.0,1.0,2.0,0.0,0.0,22.0,5.0,"Charles Breakspear, England"
League 2,,,,False,2025-12-29,1372.0,,Cheltenham,Swindon,0.0,2.0,,,7.0,4.0,0.0,2.0,0.0,0.0,8.0,12.0,Desconocido
League 2,,,,False,2025-12-29,1345.0,,Chesterfield,Cambridge,0.0,1.0,,,5.0,5.0,1.0,4.0,0.0,0.0,14.0,6.0,Desconocido
African Cup of Nations,6,World,,False,2025-12-29,1524,1500,Comoros,Mali,0.0,0.0,,,,,,,,,,,"Alhadji Allaou Mahamat, Chad"
Championship,407.0,,,False,2025-12-29,1346.0,57.0,Coventry,Ipswich,0.0,2.0,,,3.0,6.0,1.0,2.0,0.0,0.0,10.0,18.0,Desconocido
League 2,42,England,,False,2025-12-29,1362,1832,Crawley Town,Bromley,1.0,3.0,,,1.0,8.0,1.0,1.0,0.0,0.0,11.0,15.0,"Ben Toner, England"
League 2,42,England,,False,2025-12-29,1347,1361,Gillingham,Colchester,1.0,1.0,,,6.0,5.0,1.0,1.0,0.0,0.0,16.0,15.0,"Matthew Russell, England"
League 2,42,England,,False,2025-12-29,1365,1352,Grimsby,Shrewsbury,1.0,0.0,,,6.0,2.0,2.0,2.0,0.0,0.0,16.0,6.0,"Steven Copeland, England"
League 1,41,England,,False,2025-12-29,37,1337,Huddersfield,Northampton,2.0,0.0,,,8.0,3.0,0.0,3.0,0.0,0.0,16.0,8.0,"Will Finnie, England"
Championship,407.0,,,False,2025-12-29,46.0,69.0,Leicester,Derby,2.0,1.0,,,3.0,4.0,1.0,2.0,0.0,0.0,8.0,9.0,Desconocido
League 1,41,England,,False,2025-12-29,1359,1373,Luton,Leyton Orient,3.0,0.0,,,2.0,9.0,2.0,0.0,0.0,0.0,9.0,10.0,"Neil Hair, England"
Championship,407.0,,,False,2025-12-29,70.0,,Middlesbrough,Hull,0.0,1.0,,,10.0,2.0,1.0,4.0,0.0,0.0,23.0,4.0,Desconocido
Championship,407.0,,,False,2025-12-29,58.0,56.0,Millwall,Bristol City,2.0,1.0,,,1.0,8.0,4.0,1.0,0.0,0.0,8.0,16.0,Desconocido
League 2,42,England,,False,2025-12-29,1348,1376,Milton Keynes Dons,Notts County,1.0,1.0,,,1.0,5.0,2.0,3.0,0.0,0.0,10.0,13.0,"Lee Swabey, England"
African Cup of Nations,,,,False,2025-12-29,,,Morocco,Zambia,3.0,0.0,,,,,,,,,,,Desconocido
League 2,42,England,,False,2025-12-29,1367,1363,Newport County,Crewe,2.0,0.0,,,6.0,4.0,1.0,3.0,0.0,0.0,19.0,14.0,"Abigail Byrne, England"
Championship,407.0,,,False,2025-12-29,71.0,38.0,Norwich,Watford,0.0,1.0,,,8.0,3.0,0.0,1.0,0.0,0.0,9.0,8.0,Desconocido
Championship,407.0,,,False,2025-12-29,,76.0,Oxford,Swansea,0.0,1.0,,,1.0,5.0,2.0,4.0,0.0,0.0,11.0,10.0,Desconocido
League 1,,,,False,2025-12-29,,53.0,Peterboro,Reading,1.0,1.0,,,7.0,2.0,2.0,3.0,0.0,0.0,20.0,3.0,Desconocido
League 1,41,England,,False,2025-12-29,1357,1358,Plymouth,Wycombe,1.0,1.0,,,10.0,6.0,2.0,2.0,0.0,0.0,16.0,13.0,"Carl Brook, England"
Primeira Liga,94.0,,,False,2025-12-29,,21595.0,Porto,AVS,2.0,0.0,,,7.0,0.0,1.0,1.0,0.0,0.0,18.0,7.0,Desconocido
Championship,407.0,,,False,2025-12-29,1355.0,1335.0,Portsmouth,Charlton,2.0,1.0,,,5.0,11.0,2.0,2.0,0.0,0.0,15.0,16.0,Desconocido
Serie A,71.0,,,False,2025-12-29,,495.0,Roma,Genoa,3.0,1.0,,,6.0,1.0,0.0,1.0,0.0,0.0,16.0,10.0,Desconocido
League 2,,,,False,2025-12-29,,1336.0,Salford,Fleetwood Town,0.0,0.0,,,6.0,4.0,2.0,2.0,0.0,0.0,16.0,14.0,Desconocido
Championship,407.0,,,False,2025-12-29,,67.0,Sheffield Weds,Blackburn,0.0,0.0,,,2.0,7.0,2.0,3.0,0.0,0.0,5.0,14.0,Desconocido
League 1,,,,False,2025-12-29,,1354.0,Stockport,Doncaster,4.0,2.0,,,4.0,3.0,3.0,2.0,0.0,0.0,14.0,12.0,Desconocido
Championship,407.0,,,False,2025-12-29,,,Stoke,Sheffield United,1.0,2.0,,,6.0,2.0,0.0,1.0,1.0,0.0,7.0,15.0,Desconocido
League 2,42,England,,False,2025-12-29,1381,1819,Tranmere,Barrow,1.0,3.0,,,7.0,3.0,2.0,2.0,0.0,1.0,25.0,16.0,"Elliott Swallow, England"
League 2,42,England,,False,2025-12-29,1342,1349,Walsall,Oldham,1.0,2.0,,,4.0,7.0,2.0,2.0,0.0,0.0,11.0,18.0,"Oliver Mackey, England"
