League,LeagueId,Country,Round,EsEliminatoria,Date,HomeTeamId,AwayTeamId,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR,HS,AS,Referee
Ligue 2,,,,False,2025-10-31,,,Annecy,Boulogne,1.0,1.0,,,6.0,1.0,2.0,3.0,0.0,1.0,8.0,11.0,Desconocido
Bundesliga,,,,False,2025-10-31,,,Augsburg,Dortmund,0.0,1.0,,,4.0,3.0,4.0,1.0,0.0,0.0,9.0,5.0,Desconocido
Championship Escocia,,,,False,2025-10-31,,,Ayr,Dunfermline,0.0,1.0,,,6.0,4.0,3.0,2.0,0.0,0.0,11.0,7.0,Desconocido
Ligue 2,,,,False,2025-10-31,,,Bastia,Clermont,1.0,0.0,,,2.0,6.0,4.0,3.0,0.0,0.0,13.0,9.0,Desconocido
Turkey Super Lig,,,,False,2025-10-31,,,Buyuksehyr,Kocaelispor,1.0,0.0,,,6.0,5.0,2.0,2.0,0.0,0.0,16.0,11.0,Desconocido
Bundesliga 2,,,,False,2025-10-31,,,Elversberg,Hannover,2.0,2.0,,,5.0,4.0,3.0,2.0,0.0,0.0,13.0,10.0,Desconocido
La Liga,,,,False,2025-10-31,,,Getafe,Girona,2.0,1.0,,,8.0,3.0,1.0,1.0,0.0,0.0,12.0,8.0,Desconocido
Ligue 2,,,,False,2025-10-31,,,Guingamp,Laval,2.0,0.0,,,5.0,4.0,2.0,1.0,0.0,0.0,11.0,13.0,Desconocido
Ligue 2,,,,False,2025-10-31,,,Le Mans,Nancy,1.0,0.0,,,7.0,3.0,5.0,2.0,0.0,0.0,9.0,7.0,Desconocido
Ligue 2,,,,False,2025-10-31,,,Montpellier,Rodez,2.0,0.0,,,8.0,2.0,2.0,2.0,0.0,1.0,26.0,9.0,Desconocido
Eredivisie,,,,False,2025-10-31,,,PSV Eindhoven,For Sittard,5.0,2.0,,,7.0,4.0,0.0,4.0,0.0,0.0,21.0,10.0,Desconocido
Bundesliga 2,,,,False,2025-10-31,,,Preußen Münster,Holstein Kiel,2.0,1.0,,,4.0,7.0,5.0,4.0,0.0,0.0,12.0,17.0,Desconocido
La Liga 2,,,,False,2025-10-31,,,Santander,Sociedad B,1.0,0.0,,,5.0,8.0,5.0,1.0,0.0,0.0,13.0,12.0,Desconocido
Primeira Liga,,,,False,2025-10-31,,,Sp Lisbon,Alverca,2.0,0.0,,,10.0,0.0,1.0,1.0,0.0,0.0,27.0,8.0,Desconocido
Jupiler Pro League,,,,False,2025-10-31,,,Standard,Charleroi,3.0,1.0,,,4.0,5.0,2.0,3.0,0.0,0.0,8.0,12.0,Desconocido
Championship,,,,False,2025-10-31,,,Wrexham,Coventry,3.0,2.0,,,3.0,6.0,2.0,1.0,0.0,0.0,13.0,18.0,Desconocido
Serie A,,,,False,2025-10-30,,,Cagliari,Sassuolo,1.0,2.0,,,6.0,7.0,4.0,4.0,0.0,0.0,8.0,12.0,Desconocido
Serie A,,,,False,2025-10-30,,,Pisa,Lazio,0.0,0.0,,,3.0,1.0,2.0,2.0,0.0,0.0,10.0,11.0,Desconocido
Serie A,,,,False,2025-10-29,,,Bologna,Torino,0.0,0.0,,,3.0,3.0,2.0,3.0,0.0,0.0,11.0,8.0,Desconocido
Premiership Escocia,,,,False,2025-10-29,,,Celtic,Falkirk,4.0,0.0,,,6.0,3.0,1.0,2.0,0.0,0.0,26.0,8.0,Desconocido
Serie A,,,,False,2025-10-29,,,Como,Verona,3.0,1.0,,,1.0,3.0,1.0,4.0,0.0,0.0,15.0,13.0,Desconocido
Serie A,,,,False,2025-10-29,,,Genoa,Cremonese,0.0,2.0,,,7.0,3.0,3.0,1.0,0.0,0.0,16.0,12.0,Desconocido
Premiership Escocia,,,,False,2025-10-29,,,Hibernian,Rangers,0.0,1.0,,,5.0,4.0,2.0,3.0,0.0,0.0,7.0,7.0,Desconocido
Serie A,,,,False,2025-10-29,,,Inter,Fiorentina,3.0,0.0,,,8.0,5.0,1.0,2.0,0.0,1.0,22.0,10.0,Desconocido
Serie A,,,,False,2025-10-29,,,Juventus,Udinese,3.0,1.0,,,8.0,4.0,1.0,4.0,0.0,0.0,25.0,8.0,Desconocido
Premiership Escocia,,,,False,2025-10-29,,,Kilmarnock,Aberdeen,0.0,1.0,,,7.0,2.0,4.0,6.0,0.0,0.0,14.0,6.0,Desconocido
Ligue 1,,,,False,2025-10-29,,,Le Havre,Brest,1.0,0.0,,,5.0,1.0,1.0,3.0,0.0,0.0,13.0,8.0,Desconocido
Ligue 1,,,,False,2025-10-29,,,Lorient,Paris SG,1.0,1.0,,,0.0,8.0,0.0,2.0,0.0,0.0,5.0,15.0,Desconocido
Serie B,,,,False,2025-10-29,,,Mantova,Catanzaro,1.0,3.0,,,9.0,5.0,1.0,2.0,0.0,0.0,16.0,19.0,Desconocido
Ligue 1,,,,False,2025-10-29,,,Marseille,Angers,2.0,2.0,,,1.0,5.0,2.0,1.0,0.0,0.0,11.0,12.0,Desconocido
Ligue 1,,,,False,2025-10-29,,,Metz,Lens,2.0,0.0,,,2.0,5.0,3.0,2.0,1.0,0.0,16.0,10.0,Desconocido
Premiership Escocia,,,,False,2025-10-29,,,Motherwell,Dundee United,2.0,0.0,,,4.0,2.0,1.0,2.0,0.0,0.0,10.0,9.0,Desconocido
Ligue 1,,,,False,2025-10-29,,,Nantes,Monaco,3.0,5.0,,,1.0,3.0,3.0,5.0,0.0,0.0,18.0,19.0,Desconocido
Ligue 1,,,,False,2025-10-29,,,Nice,Lille,2.0,0.0,,,2.0,13.0,3.0,3.0,0.0,0.0,8.0,21.0,Desconocido
Ligue 1,,,,False,2025-10-29,,,Paris FC,Lyon,3.0,3.0,,,4.0,2.0,6.0,2.0,1.0,1.0,11.0,7.0,Desconocido
Serie A,,,,False,2025-10-29,,,Roma,Parma,2.0,1.0,,,9.0,2.0,0.0,3.0,0.0,0.0,18.0,8.0,Desconocido
Serie B,,,,False,2025-10-29,,,Spezia,Padova,1.0,1.0,,,3.0,3.0,1.0,6.0,0.0,0.0,9.0,4.0,Desconocido
Premiership Escocia,,,,False,2025-10-29,,,St Mirren,Hearts,2.0,2.0,,,6.0,7.0,2.0,2.0,0.0,0.0,12.0,20.0,Desconocido
Ligue 1,,,,False,2025-10-29,,,Strasbourg,Auxerre,3.0,0.0,,,4.0,3.0,1.0,1.0,0.0,0.0,18.0,6.0,Desconocido
Ligue 1,,,,False,2025-10-29,,,Toulouse,Rennes,2.0,2.0,,,5.0,8.0,2.0,3.0,0.0,0.0,15.0,11.0,Desconocido
Serie B,,,,False,2025-10-29,,,Venezia,Sudtirol,3.0,0.0,,,1.0,4.0,1.0,2.0,0.0,0.0,17.0,4.0,Desconocido
League 2,,,,False,2025-10-28,,,Accrington,Tranmere,1.0,1.0,,,4.0,2.0,1.0,2.0,0.0,0.0,15.0,9.0,Desconocido
Serie A,,,,False,2025-10-28,,,Atalanta,Milan,1.0,1.0,,,9.0,4.0,1.0,3.0,0.0,0.0,17.0,6.0,Desconocido
Ligue 2,,,,False,2025-10-28,,,Boulogne,Reims,2.0,6.0,,,1.0,3.0,2.0,1.0,0.0,0.0,10.0,15.0,Desconocido
League 1,,,,False,2025-10-28,,,Bradford,Lincoln,0.0,0.0,,,2.0,2.0,2.0,0.0,0.0,0.0,16.0,15.0,Desconocido
Serie B,,,,False,2025-10-28,,,Cesena,Carrarese,2.0,1.0,,,5.0,4.0,1.0,1.0,0.0,0.0,12.0,9.0,Desconocido
Ligue 2,,,,False,2025-10-28,,,Clermont,Montpellier,1.0,1.0,,,4.0,10.0,0.0,3.0,0.0,0.0,13.0,16.0,Desconocido
Ligue 2,,,,False,2025-10-28,,,Dunkerque,Red Star,3.0,0.0,,,3.0,3.0,1.0,4.0,0.0,0.0,9.0,7.0,Desconocido
Serie B,,,,False,2025-10-28,,,Empoli,Sampdoria,1.0,1.0,,,4.0,5.0,3.0,1.0,1.0,1.0,7.0,14.0,Desconocido
Serie B,,,,False,2025-10-28,,,Frosinone,Virtus Entella,4.0,0.0,,,10.0,3.0,1.0,0.0,0.0,0.0,21.0,11.0,Desconocido
Ligue 2,,,,False,2025-10-28,,,Grenoble,Guingamp,0.0,0.0,,,3.0,2.0,1.0,2.0,0.0,0.0,4.0,6.0,Desconocido
Ligue 2,,,,False,2025-10-28,,,Laval,Le Mans,1.0,1.0,,,6.0,6.0,3.0,3.0,0.0,0.0,9.0,6.0,Desconocido
Serie A,,,,False,2025-10-28,,,Lecce,Napoli,0.0,1.0,,,3.0,5.0,2.0,1.0,0.0,0.0,7.0,14.0,Desconocido
League 1,,,,False,2025-10-28,,,Mansfield,Plymouth,2.0,0.0,,,7.0,4.0,1.0,2.0,0.0,0.0,12.0,14.0,Desconocido
Ligue 2,,,,False,2025-10-28,,,Nancy,Bastia,2.0,0.0,,,2.0,4.0,1.0,2.0,0.0,0.0,9.0,6.0,Desconocido
Serie B,,,,False,2025-10-28,,,Palermo,Monza,0.0,3.0,,,6.0,6.0,1.0,4.0,0.0,0.0,17.0,12.0,Desconocido
Serie B,,,,False,2025-10-28,,,Pescara,Avellino,1.0,1.0,,,5.0,8.0,1.0,3.0,0.0,0.0,28.0,20.0,Desconocido
Serie B,,,,False,2025-10-28,,,Reggiana,Modena,1.0,0.0,,,1.0,9.0,2.0,3.0,0.0,0.0,8.0,22.0,Desconocido
Ligue 2,,,,False,2025-10-28,,,Rodez,Annecy,2.0,1.0,,,4.0,4.0,2.0,3.0,0.0,0.0,5.0,8.0,Desconocido
Ligue 2,,,,False,2025-10-28,,,St Etienne,Pau FC,6.0,0.0,,,4.0,4.0,2.0,1.0,0.0,1.0,16.0,11.0,Desconocido
Ligue 2,,,,False,2025-10-28,,,Troyes,Amiens,3.0,1.0,,,4.0,1.0,3.0,2.0,0.0,0.0,17.0,4.0,Desconocido
La Liga,,,,False,2025-10-27,,,Betis,Ath Madrid,0.0,2.0,,,2.0,5.0,2.0,1.0,0.0,0.0,17.0,9.0,Desconocido
Turkey Super Lig,,,,False,2025-10-27,,,Gaziantep,Fenerbahce,0.0,4.0,,,6.0,4.0,2.0,5.0,1.0,0.0,8.0,20.0,Desconocido
Primeira Liga,,,,False,2025-10-27,,,Moreirense,Porto,1.0,2.0,,,2.0,7.0,3.0,1.0,0.0,0.0,8.0,16.0,Desconocido
League 1,,,,False,2025-10-27,,,Port Vale,Stockport,0.0,3.0,,,4.0,5.0,0.0,1.0,0.0,0.0,9.0,17.0,Desconocido
Turkey Super Lig,,,,False,2025-10-27,,,Samsunspor,Rizespor,1.0,1.0,,,7.0,4.0,0.0,2.0,0.0,0.0,26.0,8.0,Desconocido
