League,LeagueId,Country,Round,EsEliminatoria,Date,HomeTeamId,AwayTeamId,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR,HS,AS,Referee
Gulf Cup,,,,False,2024-12-31,,,Kuwait,Bahrain,0.0,1.0,,,,,,,,,,,Desconocido
Championship Escocia,,,,False,2024-12-31,,,Morton,Partick,2.0,1.0,,,1.0,4.0,2.0,1.0,0.0,0.0,10.0,8.0,Desconocido
Gulf Cup,,,,False,2024-12-31,,,Oman,Saudi Arabia,2.0,1.0,,,,,,,,,,,Desconocido
National League,,,,False,2024-12-31,,,Solihull,Tamworth,2.0,0.0,,,,,1.0,2.0,0.0,0.0,,,Desconocido
League 2,,,,False,2024-12-30,,,AFC Wimbledon,Gillingham,1.0,0.0,,,1.0,7.0,2.0,4.0,0.0,0.0,6.0,8.0,Desconocido
Premier League,,,,False,2024-12-30,,,Aston Villa,Brighton,2.0,2.0,,,12.0,3.0,2.0,3.0,0.0,0.0,20.0,13.0,Desconocido
Serie A,,,,False,2024-12-30,,,Bologna,Verona,2.0,3.0,,,11.0,5.0,2.0,5.0,1.0,0.0,23.0,8.0,Desconocido
Serie A,,,,False,2024-12-30,,,Como,Lecce,2.0,0.0,,,4.0,4.0,3.0,2.0,0.0,0.0,15.0,11.0,Desconocido
Primeira Liga,,,,False,2024-12-30,,,Famalicao,Santa Clara,1.0,2.0,,,5.0,4.0,3.0,3.0,0.0,0.0,18.0,7.0,Desconocido
Premier League,,,,False,2024-12-30,,,Ipswich,Chelsea,2.0,0.0,,,4.0,7.0,4.0,4.0,0.0,0.0,9.0,20.0,Desconocido
Premier League,,,,False,2024-12-30,,,Man United,Newcastle,0.0,2.0,,,2.0,3.0,1.0,1.0,0.0,0.0,10.0,12.0,Desconocido
ASEAN Championship,,,,False,2024-12-30,,,Thailand,Philippines,3.0,1.0,,,,,,,,,,,Desconocido
Serie B,,,,False,2024-12-29,,,Bari,Spezia,2.0,0.0,,,6.0,2.0,3.0,2.0,0.0,0.0,16.0,13.0,Desconocido
League 1,,,,False,2024-12-29,,,Birmingham,Blackpool,0.0,0.0,,,4.0,5.0,1.0,1.0,0.0,0.0,6.0,9.0,Desconocido
Championship,,,,False,2024-12-29,,,Blackburn,Hull,0.0,1.0,,,8.0,3.0,3.0,0.0,0.0,0.0,14.0,8.0,Desconocido
League 1,,,,False,2024-12-29,,,Bolton,Lincoln,3.0,0.0,,,7.0,2.0,0.0,3.0,0.0,1.0,15.0,7.0,Desconocido
League 2,,,,False,2024-12-29,,,Bradford,Chesterfield,2.0,1.0,,,2.0,5.0,4.0,1.0,0.0,0.0,7.0,12.0,Desconocido
Championship,,,,False,2024-12-29,,,Bristol City,Portsmouth,3.0,0.0,,,10.0,4.0,1.0,1.0,0.0,0.0,20.0,5.0,Desconocido
League 2,,,,False,2024-12-29,,,Bromley,Swindon,1.0,1.0,,,4.0,3.0,2.0,4.0,0.0,0.0,12.0,17.0,Desconocido
League 2,,,,False,2024-12-29,,,Carlisle,Accrington,2.0,1.0,,,4.0,4.0,5.0,5.0,0.0,0.0,11.0,12.0,Desconocido
Serie B,,,,False,2024-12-29,,,Carrarese,Cesena,2.0,0.0,,,6.0,6.0,6.0,2.0,0.0,0.0,18.0,12.0,Desconocido
Serie B,,,,False,2024-12-29,,,Catanzaro,Salernitana,1.0,0.0,,,4.0,5.0,2.0,4.0,0.0,0.0,12.0,9.0,Desconocido
