League,LeagueId,Country,Round,EsEliminatoria,Date,HomeTeamId,AwayTeamId,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR,HS,AS,Referee
AFC Asian Cup,7,World,,False,2024-01-31,1547,12,Bahrain,Japan,1.0,3.0,,,,,,,,,,,Ahmad Al Ali
AFC Asian Cup,7,World,,False,2024-01-31,22,1565,Iran,Syria,1.0,1.0,,,,,,,,,,,Kim Jong-Hyeok
African Cup of Nations,6,World,,False,2024-01-30,1500,1502,Mali,Burkina Faso,2.0,1.0,,,,,,,,,,,Ibrahim Mutaz
African Cup of Nations,6,World,,False,2024-01-30,31,1531,Morocco,South Africa,0.0,2.0,,,,,,,,,,,Mahmood Ismail
AFC Asian Cup,7,World,,False,2024-01-30,23,17,Saudi Arabia,South Korea,1.0,1.0,,,,,,,,,,,I. Tantashev
AFC Asian Cup,7,World,,False,2024-01-30,1568,1564,Uzbekistan,Thailand,2.0,1.0,,,,,,,,,,,Nazmi Nasaruddin
African Cup of Nations,,,,False,2024-01-29,,1491.0,Cape Verde,Mauritania,1.0,0.0,,,,,,,,,,,Desconocido
AFC Asian Cup,7,World,,False,2024-01-29,1567,1548,Iraq,Jordan,2.0,3.0,,,,,,,,,,,A. Faghani
African Cup of Nations,,,,False,2024-01-29,1501.0,,Ivory Coast,Senegal,1.0,1.0,,,,,,,,,,,Desconocido
AFC Asian Cup,7,World,,False,2024-01-29,1569,1562,Qatar,Palestine,2.0,1.0,,,,,,,,,,,Ma Ning
AFC Asian Cup,7,World,,False,2024-01-28,20,1571,Australia,Indonesia,4.0,0.0,,,,,,,,,,,Mohamed Abdulla Hassan Mohd
African Cup of Nations,,,,False,2024-01-28,,,Egypt,DR Congo,1.0,1.0,,,,,,,,,,,Desconocido
African Cup of Nations,6,World,,False,2024-01-28,1521,1509,Equatorial Guinea,Guinea,0.0,1.0,,,,,,,,,,,O. Artan
AFC Asian Cup,7,World,,False,2024-01-28,1536,1563,Tajikistan,United Arab Emirates,1.0,1.0,,,,,,,,,,,Y. Araki
