League,LeagueId,Country,Round,EsEliminatoria,Date,HomeTeamId,AwayTeamId,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR,HS,AS,Referee
League 2,42,England,,False,2024-08-31,1333,1336,AFC Wimbledon,Fleetwood Town,1.0,0.0,,,9.0,6.0,3.0,2.0,0.0,0.0,20.0,9.0,J. Durkin
League 2,,,,False,2024-08-31,,1361.0,Accrington,Colchester,1.0,1.0,,,5.0,3.0,5.0,0.0,0.0,0.0,13.0,10.0,Desconocido
Turkey Super Lig,,,,False,2024-08-31,,645.0,Ad. Demirspor,Galatasaray,1.0,5.0,,,2.0,2.0,3.0,0.0,1.0,0.0,15.0,19.0,Desconocido
National League,43.0,,,False,2024-08-31,,1838.0,Aldershot,Maidenhead,4.0,3.0,,,,,1.0,0.0,0.0,0.0,,,Desconocido
Eredivisie,88.0,,,False,2024-08-31,,202.0,Almere City,Groningen,1.0,1.0,,,6.0,4.0,1.0,2.0,0.0,0.0,14.0,8.0,Desconocido
La Liga 2,,,,False,2024-08-31,723.0,,Almeria,Sp Gijon,1.0,1.0,,,10.0,1.0,0.0,3.0,0.0,0.0,27.0,9.0,Desconocido
National League,43.0,,,False,2024-08-31,4700.0,1349.0,Altrincham,Oldham,1.0,1.0,,,,,4.0,5.0,0.0,0.0,,,Desconocido
Ligue 2,62.0,,,False,2024-08-31,87.0,97.0,Amiens,Lorient,1.0,0.0,,,9.0,12.0,0.0,0.0,0.0,0.0,14.0,19.0,Desconocido
League 1 Escocia,,,,False,2024-08-31,4249.0,,Arbroath,Alloa,0.0,0.0,,,8.0,1.0,3.0,2.0,0.0,0.0,9.0,3.0,Desconocido
Super League Greece,,,,False,2024-08-31,3408.0,955.0,Aris,Asteras Tripolis,1.0,1.0,,,4.0,3.0,4.0,3.0,0.0,1.0,15.0,13.0,Desconocido
Premier League,569.0,,,False,2024-08-31,9419.0,51.0,Arsenal,Brighton,1.0,1.0,,,3.0,7.0,3.0,2.0,1.0,0.0,11.0,22.0,Desconocido
La Liga,140.0,,,False,2024-08-31,,,Ath Bilbao,Ath Madrid,0.0,1.0,,,2.0,2.0,3.0,1.0,0.0,0.0,8.0,9.0,Desconocido
