League,LeagueId,Date,HomeTeamId,AwayTeamId,HomeTeam,AwayTeam,FTHG,FTAG,HasOT,Home_OT,Away_OT
Friendly International,205,2026-08-19,3152,3013,Slovakia,Angola,73,63,False,0,0
Friendly International,205,2026-08-19,3029,3145,Slovenia,Latvia,89,86,False,0,0
NBA W,13.0,2026-08-19,163,170,Chicago Sky W,New York Liberty W,93,86,False,0,0
NBA W,13.0,2026-08-19,167,162,Las Vegas Aces W,Atlanta Dream W,82,97,False,0,0
Olympic Games Women,193.0,2026-08-19,4318,3037,New Zealand W,Brazil W,53,56,False,0,0
LNB,114.0,2026-08-18,1379,1382,Catolica,Leones Quilpue,76,79,False,0,0
LNB,114.0,2026-08-18,1381,1388,Las Animas,Valdivia,58,90,False,0,0
LNB,258.0,2026-08-18,2997,3901,Olimpia Kings,San Alfonzo,102,84,False,0,0
LNB,114.0,2026-08-18,1384,6446,Puerto Montt,Naviera Ulloa,92,72,False,0,0
NBA W,13.0,2026-08-18,164,168,Connecticut Sun W,Los Angeles Sparks W,85,77,False,0,0
NBA W,13.0,2026-08-18,7326,165,Golden State Valkyries W,Dallas Wings W,78,70,False,0,0
NBA W,13.0,2026-08-18,7870,166,Toronto Tempo W,Indiana Fever W,95,101,False,0,0
Olympic Games Women,193.0,2026-08-18,4107,4365,Mexico W,Philippines W,61,58,False,0,0
Olympic Games Women,193.0,2026-08-18,7428,4011,South Sudan W,Argentina W,61,64,False,0,0
BSN,76.0,2026-08-17,950,958,Aguada Santeros,Vaqueros de Bayamon,67,64,False,0,0
LNB,114.0,2026-08-17,1378,4921,CD Puerto Varas,Espanol Osorno,95,79,False,0,0
LNB,258.0,2026-08-17,4936,3900,Felix Perez Cardozo,Dep. San Jose,75,93,False,0,0
LNBP,63.0,2026-08-17,817,830,Abejas,Panteras,87,102,False,0,0
LNBP,63.0,2026-08-17,821,6478,Correcaminos,El Calor de Cancun,99,108,False,0,0
LNBP,63.0,2026-08-17,7437,6477,Gambusinos,Diablos Rojos,66,71,False,0,0
LNBP,63.0,2026-08-17,829,819,Mineros,Astros,89,83,False,0,0
LNBP,63.0,2026-08-17,6063,833,Santos,Soles,74,105,False,0,0
Olympic Games Women,193.0,2026-08-17,4011,4318,Argentina W,New Zealand W,35,57,False,0,0
Olympic Games Women,193.0,2026-08-17,3037,7428,Brazil W,South Sudan W,61,63,True,5,7
Olympic Games Women,193.0,2026-08-17,3038,4018,Canada W,Senegal W,72,57,False,0,0
Friendly International,205.0,2026-08-16,3056,3030,Japan,South Korea,95,66,False,0,0
Friendly International Women,290.0,2026-08-16,3036,4180,Belgium W,Italy W,62,60,False,0,0
Friendly International Women,290.0,2026-08-16,4178,4177,Finland W,Czech Republic W,75,76,False,0,0
Friendly International Women,290.0,2026-08-16,4580,3049,Lithuania W,Sweden W,53,72,False,0,0
LNB,114.0,2026-08-16,1379,1383,Catolica,Puente Alto,67,80,False,0,0
LNB,258.0,2026-08-16,3899,7927,Colonias Gold,Capiata Bulls,83,56,False,0,0
LNB,258.0,2026-08-16,7424,4935,Deportivo Amambay,Deportivo Campoalto,82,57,False,0,0
LNB,114.0,2026-08-16,4921,1381,Espanol Osorno,Las Animas,91,94,False,0,0
LNB,114.0,2026-08-16,1382,1447,Leones Quilpue,Espanol de Talca,96,69,False,0,0
