MatchId,Fecha,Local,Visita,HomeTeamId,AwayTeamId,Estado,ResultadoReal,Acierto,Mercado,Seleccion,Probabilidad
12449_28318_2026-09-08,2026-09-08,BUL,Ntugasaze,12449,28318,PENDIENTE,,,Doble Oportunidad,1X,0.954
12449_28318_2026-09-08,2026-09-08,BUL,Ntugasaze,12449,28318,PENDIENTE,,,Goles,-3.5 Goles,0.862
28320_6422_2026-09-08,2026-09-08,Kigezi HomeBoyz,KCCA,28320,6422,PENDIENTE,,,Doble Oportunidad,1X,0.825
21374_1177_2026-09-08,2026-09-08,3 de Noviembre,SOL DE America,21374,1177,PENDIENTE,,,Goles,+1.5 Goles,0.875
1181_2135_2026-09-08,2026-09-08,General Caballero,Resistencia,1181,2135,PENDIENTE,,,Doble Oportunidad,1X,0.804
28364_23457_2026-09-08,2026-09-08,Benin U20 W,Argentina U20 W,28364,23457,PENDIENTE,,,Doble Oportunidad,1X,0.898
28364_23457_2026-09-08,2026-09-08,Benin U20 W,Argentina U20 W,28364,23457,PENDIENTE,,,Goles,+1.5 Goles,0.828
19079_19080_2026-09-08,2026-09-08,Brazil U20 W,Canada U20 W,19079,19080,PENDIENTE,,,Doble Oportunidad,1X,0.876
19079_19080_2026-09-08,2026-09-08,Brazil U20 W,Canada U20 W,19079,19080,PENDIENTE,,,Goles,+1.5 Goles,0.885
27219_28369_2026-09-08,2026-09-08,England U20 W,Tanzania U20 W,27219,28369,PENDIENTE,,,Doble Oportunidad,1X,0.876
27219_28369_2026-09-08,2026-09-08,England U20 W,Tanzania U20 W,27219,28369,PENDIENTE,,,Goles,+1.5 Goles,0.885
28367_19088_2026-09-08,2026-09-08,Poland U20 W,Mexico U20 W,28367,19088,PENDIENTE,,,Doble Oportunidad,1X,0.898
28367_19088_2026-09-08,2026-09-08,Poland U20 W,Mexico U20 W,28367,19088,PENDIENTE,,,Goles,+1.5 Goles,0.828
2915_2894_2026-09-08,2026-09-08,Al Mesaimeer,Al Kharaitiyat,2915,2894,PENDIENTE,,,Goles,-3.5 Goles,0.92
11909_2925_2026-09-08,2026-09-08,Al Shamal II,Al Bidda SC,11909,2925,PENDIENTE,,,Mega-Misil SGBB,X2_U45,0.868
11909_2925_2026-09-08,2026-09-08,Al Shamal II,Al Bidda SC,11909,2925,PENDIENTE,,,Doble Oportunidad,X2,0.892
11909_2925_2026-09-08,2026-09-08,Al Shamal II,Al Bidda SC,11909,2925,PENDIENTE,,,Goles,-3.5 Goles,0.913
6823_19449_2026-09-08,2026-09-08,Ryazan,Spartak Kostroma,6823,19449,PENDIENTE,,,Doble Oportunidad,1X,0.801
6823_19449_2026-09-08,2026-09-08,Ryazan,Spartak Kostroma,6823,19449,PENDIENTE,,,Goles,-3.5 Goles,0.871
14046_10545_2026-09-08,2026-09-08,Rača,Šamorín,14046,10545,PENDIENTE,,,Goles,+1.5 Goles,0.804
14088_15006_2026-09-08,2026-09-08,Námestovo,MFK Bytča,14088,15006,PENDIENTE,,,Doble Oportunidad,1X,0.879
14088_15006_2026-09-08,2026-09-08,Námestovo,MFK Bytča,14088,15006,PENDIENTE,,,Goles,+1.5 Goles,0.812
14392_680_2026-09-08,2026-09-08,Drenica Skënderaj,Prishtina,14392,680,PENDIENTE,,,Doble Oportunidad,X2,0.892
14392_680_2026-09-08,2026-09-08,Drenica Skënderaj,Prishtina,14392,680,PENDIENTE,,,Goles,-3.5 Goles,0.866
14396_14395_2026-09-08,2026-09-08,Vushtrria,Llapi,14396,14395,PENDIENTE,,,Goles,+1.5 Goles,0.921
2274_687_2026-09-08,2026-09-08,Trans Narva,Flora Tallinn,2274,687,PENDIENTE,,,Goles,+1.5 Goles,0.858
662_10059_2026-09-08,2026-09-08,Kalju Nomme,Nõmme United,662,10059,PENDIENTE,,,Goles,+1.5 Goles,0.893
