League,Date,HomeTeam,AwayTeam,FTHG,FTAG,HC,AC,HY,AY,HR,AR,HS,AS,year_month
Ligue 2,2026-02-28,Red Star,Le Mans,0.0,0.0,6.0,4.0,2.0,3.0,0.0,0.0,7.0,6.0,2026-02
Serie B,2026-02-28,Sudtirol,Venezia,1.0,1.0,6.0,5.0,1.0,2.0,0.0,0.0,12.0,12.0,2026-02
League 2,2026-02-28,Oldham,Crawley Town,2.0,0.0,8.0,3.0,4.0,1.0,0.0,0.0,18.0,8.0,2026-02
League 2,2026-02-28,Notts County,Grimsby,0.0,1.0,7.0,6.0,3.0,3.0,1.0,0.0,14.0,12.0,2026-02
Serie B,2026-02-28,Empoli,Cesena,1.0,1.0,13.0,1.0,0.0,1.0,0.0,0.0,28.0,8.0,2026-02
League 2 Escocia,2026-02-28,Stranraer,Elgin,1.0,2.0,5.0,6.0,1.0,1.0,0.0,0.0,9.0,14.0,2026-02
Championship,2026-02-28,Ipswich,Swansea,3.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,11.0,10.0,2026-02
Championship,2026-02-28,Oxford,West Brom,2.0,1.0,5.0,6.0,0.0,2.0,0.0,0.0,9.0,16.0,2026-02
Championship,2026-02-28,QPR,Sheffield United,0.0,2.0,7.0,4.0,2.0,2.0,0.0,0.0,12.0,12.0,2026-02
National League,2026-02-28,Morecambe,York,0.0,1.0,,,3.0,5.0,1.0,0.0,,,2026-02
National League,2026-02-28,Truro,Braintree Town,2.0,3.0,,,2.0,5.0,0.0,0.0,,,2026-02
National League,2026-02-28,Tamworth,Boreham Wood,3.0,2.0,,,0.0,1.0,0.0,0.0,,,2026-02
National League,2026-02-28,Scunthorpe,Solihull,3.0,3.0,,,1.0,2.0,0.0,1.0,,,2026-02
National League,2026-02-28,Halifax,Sutton,2.0,2.0,,,1.0,2.0,0.0,0.0,,,2026-02
National League,2026-02-28,Gateshead,Forest Green,0.0,2.0,,,2.0,2.0,0.0,0.0,,,2026-02
National League,2026-02-28,Eastleigh,Carlisle,1.0,2.0,,,1.0,1.0,0.0,0.0,,,2026-02
National League,2026-02-28,Brackley Town,Altrincham,0.0,2.0,,,3.0,3.0,0.0,0.0,,,2026-02
National League,2026-02-28,Aldershot,Rochdale,0.0,2.0,,,2.0,2.0,0.0,0.0,,,2026-02
Championship Escocia,2026-02-28,Dunfermline,Queens Park,1.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,10.0,13.0,2026-02
League 1,2026-02-28,Wycombe,Burton,3.0,0.0,3.0,4.0,3.0,2.0,0.0,0.0,8.0,6.0,2026-02
League 1,2026-02-28,Wigan,Huddersfield,1.0,0.0,4.0,6.0,2.0,3.0,0.0,0.0,12.0,9.0,2026-02
League 1,2026-02-28,Stevenage,Stockport,2.0,1.0,2.0,7.0,1.0,5.0,0.0,0.0,8.0,11.0,2026-02
League 1,2026-02-28,Rotherham,Plymouth,1.0,0.0,3.0,8.0,5.0,5.0,0.0,0.0,18.0,20.0,2026-02
League 1,2026-02-28,Reading,Bradford,2.0,1.0,5.0,6.0,3.0,0.0,0.0,0.0,9.0,12.0,2026-02
League 1,2026-02-28,Port Vale,Luton,1.0,1.0,6.0,6.0,3.0,3.0,0.0,0.0,12.0,12.0,2026-02
League 1,2026-02-28,Mansfield,AFC Wimbledon,2.0,2.0,7.0,6.0,2.0,1.0,0.0,0.0,14.0,16.0,2026-02
League 1,2026-02-28,Lincoln,Blackpool,4.0,0.0,7.0,6.0,1.0,4.0,0.0,0.0,13.0,9.0,2026-02
Serie B,2026-02-28,Modena,Padova,1.0,2.0,5.0,3.0,2.0,3.0,0.0,0.0,12.0,6.0,2026-02
Serie B,2026-02-28,Spezia,Reggiana,0.0,1.0,7.0,1.0,4.0,3.0,0.0,0.0,22.0,7.0,2026-02
League 1,2026-02-28,Doncaster,Cardiff,0.0,4.0,3.0,9.0,2.0,0.0,0.0,0.0,15.0,14.0,2026-02
Serie B,2026-02-28,Avellino,Juve Stabia,0.0,0.0,6.0,2.0,3.0,1.0,0.0,0.0,11.0,5.0,2026-02
League 2,2026-02-28,Cambridge,Milton Keynes Dons,1.0,1.0,3.0,2.0,1.0,2.0,0.0,0.0,7.0,9.0,2026-02
Super League Greece,2026-02-28,OFI Crete,Larisa,3.0,0.0,4.0,7.0,0.0,4.0,0.0,0.0,9.0,10.0,2026-02
League 2,2026-02-28,Colchester,Salford,0.0,1.0,4.0,5.0,3.0,2.0,0.0,0.0,8.0,15.0,2026-02
Premier League,2026-02-28,Bournemouth,Sunderland,1.0,1.0,7.0,3.0,4.0,2.0,0.0,0.0,21.0,8.0,2026-02
League 2,2026-02-28,Bromley,Accrington,2.0,1.0,5.0,5.0,1.0,1.0,0.0,1.0,17.0,12.0,2026-02
Premier League,2026-02-28,Burnley,Brentford,3.0,4.0,4.0,8.0,2.0,2.0,0.0,0.0,12.0,16.0,2026-02
Championship,2026-02-28,Charlton,Wrexham,0.0,1.0,4.0,2.0,2.0,1.0,0.0,0.0,12.0,8.0,2026-02
Super League Greece,2026-02-28,Atromitos,Panetolikos,1.0,0.0,4.0,0.0,5.0,3.0,0.0,0.0,9.0,6.0,2026-02
League 2,2026-02-28,Swindon,Bristol Rvs,1.0,1.0,13.0,1.0,1.0,4.0,0.0,0.0,16.0,10.0,2026-02
