League,Date,HomeTeam,AwayTeam,FTHG,FTAG,HC,AC,HY,AY,HR,AR,HS,AS,year_month
Primeira Liga,2026-04-29,Sp Lisbon,Tondela,2.0,2.0,5.0,5.0,2.0,3.0,0.0,0.0,16.0,9.0,2026-04
League 1,2026-04-28,Northampton,Barnsley,0.0,1.0,5.0,2.0,1.0,1.0,0.0,0.0,14.0,10.0,2026-04
League 1,2026-04-28,Peterboro,Mansfield,0.0,0.0,5.0,7.0,0.0,2.0,0.0,0.0,9.0,13.0,2026-04
League 1,2026-04-28,Stockport,Port Vale,1.0,2.0,7.0,1.0,2.0,0.0,0.0,0.0,13.0,10.0,2026-04
Championship,2026-04-28,Southampton,Ipswich,2.0,2.0,5.0,9.0,0.0,2.0,0.0,0.0,18.0,19.0,2026-04
Primeira Liga,2026-04-27,Gil Vicente,Casa Pia,2.0,1.0,4.0,3.0,5.0,3.0,0.0,0.0,12.0,7.0,2026-04
Turkey Super Lig,2026-04-27,Besiktas,Karagumruk,0.0,0.0,5.0,2.0,2.0,3.0,0.0,0.0,20.0,12.0,2026-04
La Liga,2026-04-27,Espanol,Levante,0.0,0.0,4.0,4.0,3.0,3.0,1.0,0.0,9.0,8.0,2026-04
Serie A,2026-04-27,Cagliari,Atalanta,3.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,9.0,12.0,2026-04
Serie A,2026-04-27,Lazio,Udinese,3.0,3.0,4.0,5.0,3.0,1.0,0.0,0.0,13.0,16.0,2026-04
Turkey Super Lig,2026-04-27,Alanyaspor,Samsunspor,2.0,3.0,12.0,5.0,2.0,3.0,0.0,0.0,17.0,12.0,2026-04
La Liga 2,2026-04-27,Cadiz,Las Palmas,1.0,2.0,6.0,5.0,1.0,0.0,1.0,0.0,11.0,14.0,2026-04
Turkey Super Lig,2026-04-27,Konyaspor,Trabzonspor,2.0,1.0,7.0,5.0,4.0,0.0,0.0,0.0,12.0,23.0,2026-04
Ligue 2,2026-04-27,Boulogne,Dunkerque,2.0,6.0,5.0,3.0,1.0,1.0,1.0,0.0,9.0,10.0,2026-04
Premier League,2026-04-27,Man United,Brentford,2.0,1.0,7.0,8.0,2.0,4.0,0.0,0.0,11.0,12.0,2026-04
Eredivisie,2026-04-26,Heracles,Volendam,0.0,2.0,5.0,9.0,1.0,0.0,0.0,0.0,14.0,18.0,2026-04
Serie A,2026-04-26,Milan,Juventus,0.0,0.0,1.0,3.0,2.0,3.0,0.0,0.0,8.0,10.0,2026-04
Championship,2026-04-26,Coventry,Wrexham,3.0,1.0,5.0,4.0,2.0,2.0,0.0,0.0,15.0,13.0,2026-04
Turkey Super Lig,2026-04-26,Galatasaray,Fenerbahce,3.0,0.0,6.0,4.0,5.0,6.0,0.0,1.0,21.0,5.0,2026-04
Ligue 1,2026-04-26,Paris FC,Lille,0.0,1.0,7.0,3.0,6.0,3.0,1.0,0.0,7.0,10.0,2026-04
Turkey Super Lig,2026-04-26,Genclerbirligi,Kocaelispor,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,8.0,7.0,2026-04
Bundesliga 2,2026-04-26,Bochum,Greuther Furth,2.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,17.0,14.0,2026-04
Bundesliga 2,2026-04-26,Nurnberg,Magdeburg,1.0,0.0,3.0,5.0,1.0,3.0,0.0,0.0,14.0,6.0,2026-04
Bundesliga 2,2026-04-26,Paderborn,Schalke 04,2.0,3.0,7.0,2.0,0.0,1.0,0.0,0.0,14.0,11.0,2026-04
La Liga 2,2026-04-26,Ceuta,Santander,0.0,0.0,1.0,9.0,3.0,3.0,0.0,0.0,6.0,19.0,2026-04
La Liga,2026-04-26,Vallecano,Sociedad,3.0,3.0,6.0,4.0,6.0,4.0,1.0,0.0,24.0,13.0,2026-04
Super League Greece,2026-04-26,Kifisia,Panetolikos,0.0,0.0,3.0,1.0,3.0,4.0,0.0,0.0,21.0,4.0,2026-04
Super League Greece,2026-04-26,Atromitos,Asteras Tripolis,2.0,1.0,5.0,10.0,1.0,1.0,0.0,0.0,13.0,13.0,2026-04
Super League Greece,2026-04-26,Larisa,Panserraikos,0.0,1.0,4.0,2.0,4.0,5.0,0.0,0.0,11.0,4.0,2026-04
Jupiler Pro League,2026-04-26,Waregem,RAAL La Louviere,4.0,0.0,5.0,6.0,1.0,1.0,0.0,0.0,12.0,10.0,2026-04
Jupiler Pro League,2026-04-26,Anderlecht,St. Gilloise,1.0,3.0,4.0,3.0,2.0,3.0,1.0,0.0,13.0,12.0,2026-04
Jupiler Pro League,2026-04-26,Mechelen,St Truiden,1.0,4.0,4.0,7.0,1.0,1.0,0.0,0.0,8.0,16.0,2026-04
La Liga 2,2026-04-26,Leganes,Andorra,0.0,4.0,9.0,5.0,5.0,1.0,0.0,0.0,17.0,15.0,2026-04
La Liga,2026-04-26,Oviedo,Elche,1.0,2.0,6.0,1.0,2.0,0.0,0.0,1.0,12.0,4.0,2026-04
Ligue 1,2026-04-26,Rennes,Nantes,2.0,1.0,6.0,8.0,3.0,2.0,0.0,0.0,14.0,24.0,2026-04
