League,Date,HomeTeam,AwayTeam,FTHG,FTAG,HC,AC,HY,AY,HR,AR,HS,AS,year_month
UEFA Euro,2024-06-30,England,Slovakia,2.0,1.0,,,,,,,,,2024-06
UEFA Euro,2024-06-30,Spain,Georgia,4.0,1.0,,,,,,,,,2024-06
Oceania Nations Cup,2024-06-30,Tahiti,Fiji,2.0,1.0,,,,,,,,,2024-06
Oceania Nations Cup,2024-06-30,Vanuatu,New Zealand,0.0,3.0,,,,,,,,,2024-06
Copa América,2024-06-30,Mexico,Ecuador,0.0,0.0,,,,,,,,,2024-06
Copa América,2024-06-30,Jamaica,Venezuela,0.0,3.0,,,,,,,,,2024-06
UEFA Euro,2024-06-29,Switzerland,Italy,2.0,0.0,,,,,,,,,2024-06
Copa América,2024-06-29,Canada,Chile,0.0,0.0,,,,,,,,,2024-06
UEFA Euro,2024-06-29,Germany,Denmark,2.0,0.0,,,,,,,,,2024-06
Copa América,2024-06-29,Argentina,Peru,2.0,0.0,,,,,,,,,2024-06
Copa América,2024-06-28,Paraguay,Brazil,1.0,4.0,,,,,,,,,2024-06
Copa América,2024-06-28,Colombia,Costa Rica,3.0,0.0,,,,,,,,,2024-06
Copa América,2024-06-27,Uruguay,Bolivia,5.0,0.0,,,,,,,,,2024-06
Copa América,2024-06-27,United States,Panama,1.0,2.0,,,,,,,,,2024-06
Oceania Nations Cup,2024-06-27,New Zealand,Tahiti,5.0,0.0,,,,,,,,,2024-06
Oceania Nations Cup,2024-06-27,Vanuatu,Fiji,2.0,1.0,,,,,,,,,2024-06
UEFA Euro,2024-06-26,Czech Republic,Turkey,1.0,2.0,,,,,,,,,2024-06
Copa América,2024-06-26,Venezuela,Mexico,1.0,0.0,,,,,,,,,2024-06
Copa América,2024-06-26,Ecuador,Jamaica,3.0,1.0,,,,,,,,,2024-06
UEFA Euro,2024-06-26,Ukraine,Belgium,0.0,0.0,,,,,,,,,2024-06
UEFA Euro,2024-06-26,Slovakia,Romania,1.0,1.0,,,,,,,,,2024-06
UEFA Euro,2024-06-26,Georgia,Portugal,2.0,0.0,,,,,,,,,2024-06
UEFA Euro,2024-06-25,England,Slovenia,0.0,0.0,,,,,,,,,2024-06
Copa América,2024-06-25,Chile,Argentina,0.0,1.0,,,,,,,,,2024-06
Copa América,2024-06-25,Peru,Canada,0.0,1.0,,,,,,,,,2024-06
UEFA Euro,2024-06-25,France,Poland,1.0,1.0,,,,,,,,,2024-06
UEFA Euro,2024-06-25,Netherlands,Austria,2.0,3.0,,,,,,,,,2024-06
