League,Date,HomeTeam,AwayTeam,FTHG,FTAG,HC,AC,HY,AY,HR,AR,HS,AS,year_month
Ligue 1,2025-08-31,Paris FC,Metz,3.0,2.0,14.0,6.0,1.0,1.0,0.0,1.0,24.0,14.0,2025-08
La Liga,2025-08-31,Espanol,Osasuna,1.0,0.0,2.0,3.0,2.0,3.0,0.0,0.0,10.0,10.0,2025-08
Super League Greece,2025-08-31,PAOK,Atromitos,1.0,0.0,6.0,1.0,1.0,6.0,0.0,1.0,26.0,1.0,2025-08
Serie B,2025-08-31,Modena,Avellino,1.0,1.0,7.0,2.0,2.0,5.0,0.0,1.0,22.0,3.0,2025-08
Serie B,2025-08-31,Bari,Monza,1.0,1.0,3.0,6.0,2.0,4.0,0.0,0.0,20.0,13.0,2025-08
Serie B,2025-08-31,Sudtirol,Sampdoria,3.0,1.0,2.0,5.0,1.0,2.0,0.0,0.0,11.0,18.0,2025-08
Serie B,2025-08-31,Carrarese,Padova,0.0,0.0,4.0,2.0,3.0,3.0,0.0,1.0,16.0,11.0,2025-08
Super League Greece,2025-08-31,Panathinaikos,Levadeiakos,1.0,1.0,7.0,3.0,1.0,1.0,0.0,0.0,20.0,7.0,2025-08
Jupiler Pro League,2025-08-31,St. Gilloise,Anderlecht,2.0,0.0,5.0,5.0,1.0,6.0,0.0,2.0,16.0,9.0,2025-08
La Liga 2,2025-08-31,Andorra,Burgos,2.0,1.0,5.0,4.0,1.0,2.0,0.0,0.0,14.0,12.0,2025-08
La Liga,2025-08-31,Vallecano,Barcelona,1.0,1.0,9.0,4.0,4.0,1.0,0.0,0.0,12.0,12.0,2025-08
La Liga,2025-08-31,Betis,Ath Bilbao,1.0,2.0,4.0,10.0,1.0,4.0,0.0,1.0,9.0,15.0,2025-08
La Liga,2025-08-31,Celta,Villarreal,1.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0,10.0,8.0,2025-08
Jupiler Pro League,2025-08-31,Oud-Heverlee Leuven,Standard,1.0,0.0,4.0,4.0,3.0,3.0,0.0,0.0,9.0,7.0,2025-08
Serie A,2025-08-31,Lazio,Verona,4.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,22.0,12.0,2025-08
Jupiler Pro League,2025-08-31,Gent,Club Brugge,1.0,1.0,6.0,7.0,4.0,2.0,0.0,0.0,14.0,14.0,2025-08
Bundesliga,2025-08-31,Wolfsburg,Mainz,1.0,1.0,3.0,10.0,3.0,5.0,1.0,0.0,11.0,17.0,2025-08
Bundesliga 2,2025-08-31,Magdeburg,Greuther Furth,4.0,5.0,2.0,3.0,5.0,4.0,1.0,0.0,19.0,13.0,2025-08
Bundesliga 2,2025-08-31,Kaiserslautern,Darmstadt,3.0,1.0,3.0,5.0,2.0,2.0,0.0,0.0,17.0,17.0,2025-08
Bundesliga 2,2025-08-31,Dresden,Schalke 04,0.0,1.0,1.0,6.0,1.0,4.0,0.0,0.0,6.0,16.0,2025-08
Turkey Super Lig,2025-08-31,Alanyaspor,Besiktas,2.0,0.0,2.0,6.0,1.0,3.0,0.0,0.0,9.0,15.0,2025-08
Turkey Super Lig,2025-08-31,Genclerbirligi,Fenerbahce,1.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,9.0,13.0,2025-08
Turkey Super Lig,2025-08-31,Buyuksehyr,Eyupspor,0.0,0.0,5.0,4.0,4.0,5.0,0.0,0.0,10.0,12.0,2025-08
Bundesliga,2025-08-31,FC Koln,Freiburg,4.0,1.0,3.0,5.0,2.0,1.0,0.0,0.0,18.0,12.0,2025-08
Bundesliga,2025-08-31,Dortmund,Union Berlin,3.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,11.0,12.0,2025-08
Turkey Super Lig,2025-08-31,Trabzonspor,Samsunspor,1.0,1.0,2.0,10.0,1.0,4.0,0.0,0.0,9.0,13.0,2025-08
Super League Greece,2025-08-31,AEK,Asteras Tripolis,1.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,15.0,4.0,2025-08
Eredivisie,2025-08-31,NAC Breda,AZ Alkmaar,0.0,1.0,1.0,7.0,0.0,5.0,1.0,0.0,11.0,25.0,2025-08
Serie A,2025-08-31,Inter,Udinese,1.0,2.0,13.0,2.0,1.0,3.0,0.0,0.0,16.0,10.0,2025-08
La Liga 2,2025-08-31,Cadiz,Albacete,2.0,1.0,7.0,4.0,4.0,3.0,0.0,1.0,6.0,12.0,2025-08
Serie A,2025-08-31,Torino,Fiorentina,0.0,0.0,7.0,3.0,2.0,2.0,0.0,0.0,7.0,16.0,2025-08
Premier League,2025-08-31,Liverpool,Arsenal,1.0,0.0,3.0,8.0,2.0,2.0,0.0,0.0,9.0,11.0,2025-08
Premier League,2025-08-31,Nott'm Forest,West Ham,0.0,3.0,9.0,7.0,0.0,0.0,0.0,0.0,11.0,12.0,2025-08
Premier League,2025-08-31,Brighton,Man City,2.0,1.0,3.0,2.0,2.0,2.0,0.0,0.0,12.0,12.0,2025-08
Ligue 1,2025-08-31,Lyon,Marseille,1.0,0.0,9.0,4.0,2.0,2.0,0.0,1.0,17.0,5.0,2025-08
