League,Date,HomeTeam,AwayTeam,FTHG,FTAG,HC,AC,HY,AY,HR,AR,HS,AS,year_month
Ligue 2,2024-09-30,Guingamp,Caen,3.0,1.0,7.0,6.0,2.0,3.0,0.0,0.0,13.0,6.0,2024-09
Super League Greece,2024-09-30,Lamia,Panserraikos,1.0,2.0,6.0,5.0,1.0,5.0,1.0,1.0,10.0,12.0,2024-09
La Liga,2024-09-30,Villarreal,Las Palmas,3.0,1.0,3.0,2.0,0.0,3.0,0.0,0.0,17.0,7.0,2024-09
Premier League,2024-09-30,Bournemouth,Southampton,3.0,1.0,7.0,4.0,2.0,5.0,0.0,0.0,14.0,9.0,2024-09
La Liga 2,2024-09-30,Santander,Cartagena,1.0,2.0,6.0,1.0,0.0,4.0,0.0,0.0,15.0,9.0,2024-09
Serie B,2024-09-30,Sudtirol,Palermo,1.0,3.0,3.0,6.0,4.0,2.0,0.0,0.0,16.0,7.0,2024-09
Turkey Super Lig,2024-09-30,Kayserispor,Besiktas,0.0,3.0,7.0,3.0,4.0,3.0,0.0,0.0,10.0,9.0,2024-09
Serie B,2024-09-30,Brescia,Cremonese,3.0,2.0,9.0,5.0,4.0,3.0,0.0,0.0,14.0,19.0,2024-09
Primeira Liga,2024-09-30,AVS,Farense,0.0,0.0,6.0,3.0,4.0,3.0,0.0,0.0,12.0,9.0,2024-09
Serie A,2024-09-30,Parma,Cagliari,2.0,3.0,5.0,3.0,3.0,2.0,0.0,0.0,18.0,11.0,2024-09
Premier League,2024-09-29,Ipswich,Aston Villa,2.0,2.0,10.0,0.0,4.0,1.0,0.0,0.0,15.0,7.0,2024-09
Championship,2024-09-29,Swansea,Bristol City,1.0,1.0,3.0,8.0,1.0,3.0,0.0,0.0,7.0,15.0,2024-09
Turkey Super Lig,2024-09-29,Antalyaspor,Fenerbahce,0.0,2.0,2.0,5.0,1.0,1.0,0.0,0.0,10.0,14.0,2024-09
Eredivisie,2024-09-29,Zwolle,Almere City,1.0,0.0,6.0,8.0,2.0,4.0,0.0,0.0,11.0,15.0,2024-09
Eredivisie,2024-09-29,Groningen,Go Ahead Eagles,0.0,1.0,7.0,7.0,2.0,3.0,0.0,0.0,7.0,16.0,2024-09
Bundesliga 2,2024-09-29,Hertha,Elversberg,1.0,4.0,7.0,7.0,3.0,5.0,0.0,0.0,11.0,11.0,2024-09
Premier League,2024-09-29,Man United,Tottenham,0.0,3.0,5.0,3.0,5.0,3.0,1.0,0.0,11.0,24.0,2024-09
Bundesliga,2024-09-29,Holstein Kiel,Ein Frankfurt,2.0,4.0,4.0,9.0,1.0,3.0,0.0,0.0,10.0,18.0,2024-09
Eredivisie,2024-09-29,Twente,NAC Breda,1.0,0.0,4.0,3.0,2.0,2.0,0.0,0.0,18.0,7.0,2024-09
Eredivisie,2024-09-29,Waalwijk,Ajax,0.0,2.0,2.0,12.0,2.0,1.0,0.0,0.0,3.0,23.0,2024-09
Primeira Liga,2024-09-29,Sp Braga,Rio Ave,4.0,0.0,4.0,5.0,0.0,2.0,0.0,0.0,18.0,13.0,2024-09
Turkey Super Lig,2024-09-29,Eyupspor,Gaziantep,3.0,2.0,5.0,5.0,1.0,4.0,0.0,0.0,11.0,11.0,2024-09
Jupiler Pro League,2024-09-29,Gent,Oud-Heverlee Leuven,3.0,0.0,4.0,7.0,1.0,2.0,0.0,0.0,10.0,12.0,2024-09
Primeira Liga,2024-09-29,Famalicao,Nacional,0.0,0.0,8.0,4.0,1.0,4.0,0.0,0.0,16.0,11.0,2024-09
Super League Greece,2024-09-29,OFI Crete,Panetolikos,1.0,2.0,4.0,2.0,2.0,4.0,0.0,0.0,7.0,10.0,2024-09
Super League Greece,2024-09-29,Olympiakos,Atromitos,2.0,0.0,5.0,5.0,2.0,1.0,0.0,0.0,12.0,4.0,2024-09
Super League Greece,2024-09-29,PAOK,Aris,0.0,1.0,5.0,5.0,2.0,3.0,0.0,0.0,12.0,9.0,2024-09
Bundesliga 2,2024-09-29,FC Koln,Karlsruhe,4.0,4.0,3.0,8.0,0.0,3.0,0.0,0.0,16.0,19.0,2024-09
Primeira Liga,2024-09-29,Porto,Arouca,4.0,0.0,8.0,2.0,2.0,3.0,0.0,1.0,26.0,4.0,2024-09
Primeira Liga,2024-09-29,Santa Clara,Boavista,1.0,0.0,3.0,0.0,4.0,3.0,0.0,0.0,15.0,4.0,2024-09
Super League Greece,2024-09-29,AEK,Panathinaikos,2.0,0.0,6.0,1.0,6.0,4.0,0.0,0.0,15.0,7.0,2024-09
Jupiler Pro League,2024-09-29,Cercle Brugge,St Truiden,1.0,1.0,9.0,7.0,1.0,3.0,0.0,0.0,13.0,9.0,2024-09
Ligue 1,2024-09-29,Angers,Reims,1.0,3.0,5.0,4.0,0.0,3.0,0.0,0.0,14.0,21.0,2024-09
