League,Date,HomeTeam,AwayTeam,FTHG,FTAG,HC,AC,HY,AY,HR,AR,HS,AS,year_month
Friendly,2026-05-31,Brazil,Panama,6.0,2.0,,,,,,,,,2026-05
La Liga 2,2026-05-31,Burgos,Andorra,1.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,11.0,13.0,2026-05
Friendly,2026-05-31,Czech Republic,Kosovo,2.0,1.0,,,,,,,,,2026-05
Friendly,2026-05-31,Germany,Finland,4.0,0.0,,,,,,,,,2026-05
Friendly,2026-05-31,Singapore,Mongolia,4.0,0.0,,,,,,,,,2026-05
Friendly,2026-05-31,Switzerland,Jordan,4.0,1.0,,,,,,,,,2026-05
Friendly,2026-05-31,United States,Senegal,3.0,2.0,,,,,,,,,2026-05
Friendly,2026-05-31,Japan,Iceland,1.0,0.0,,,,,,,,,2026-05
Friendly,2026-05-31,Cape Verde,Serbia,3.0,0.0,,,,,,,,,2026-05
Friendly,2026-05-31,Poland,Ukraine,0.0,2.0,,,,,,,,,2026-05
La Liga 2,2026-05-31,Leganes,Mirandes,1.0,0.0,5.0,3.0,3.0,5.0,0.0,0.0,7.0,12.0,2026-05
La Liga 2,2026-05-31,Cordoba,Huesca,1.0,1.0,9.0,4.0,2.0,3.0,0.0,0.0,22.0,13.0,2026-05
La Liga 2,2026-05-31,Zaragoza,Malaga,0.0,2.0,3.0,6.0,1.0,1.0,0.0,0.0,5.0,17.0,2026-05
La Liga 2,2026-05-31,Santander,Cadiz,4.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,21.0,12.0,2026-05
La Liga 2,2026-05-31,La Coruna,Las Palmas,1.0,2.0,1.0,5.0,1.0,0.0,0.0,0.0,6.0,5.0,2026-05
La Liga 2,2026-05-31,Castellon,Eibar,2.0,1.0,8.0,6.0,0.0,1.0,0.0,0.0,21.0,12.0,2026-05
La Liga 2,2026-05-31,Almeria,Valladolid,1.0,0.0,2.0,2.0,2.0,4.0,0.0,0.0,25.0,8.0,2026-05
Unity Cup,2026-05-30,Nigeria,Jamaica,3.0,0.0,,,,,,,,,2026-05
Friendly,2026-05-30,South Korea,Trinidad and Tobago,5.0,0.0,,,,,,,,,2026-05
Friendly,2026-05-30,Scotland,Curaçao,4.0,1.0,,,,,,,,,2026-05
Friendly,2026-05-30,Ecuador,Saudi Arabia,2.0,1.0,,,,,,,,,2026-05
Friendly,2026-05-30,Mexico,Australia,1.0,0.0,,,,,,,,,2026-05
Unity Cup,2026-05-30,Zimbabwe,India,1.0,0.0,,,,,,,,,2026-05
La Liga 2,2026-05-30,Sociedad B,Cultural Leonesa,1.0,1.0,6.0,4.0,1.0,0.0,0.0,0.0,12.0,11.0,2026-05
La Liga 2,2026-05-30,Ceuta,Albacete,1.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,8.0,11.0,2026-05
La Liga 2,2026-05-30,Granada,Sp Gijon,1.0,2.0,2.0,5.0,1.0,2.0,0.0,0.0,10.0,8.0,2026-05
Friendly,2026-05-29,Iran,Gambia,3.0,1.0,,,,,,,,,2026-05
Friendly,2026-05-29,Andorra,Iraq,0.0,1.0,,,,,,,,,2026-05
Friendly,2026-05-29,South Africa,Nicaragua,0.0,0.0,,,,,,,,,2026-05
Friendly,2026-05-29,Bosnia and Herzegovina,North Macedonia,0.0,0.0,,,,,,,,,2026-05
Friendly,2026-05-28,Egypt,Russia,1.0,0.0,,,,,,,,,2026-05
Friendly,2026-05-28,Republic of Ireland,Qatar,1.0,0.0,,,,,,,,,2026-05
Unity Cup,2026-05-27,India,Jamaica,0.0,2.0,,,,,,,,,2026-05
Unity Cup,2026-05-26,Nigeria,Zimbabwe,2.0,0.0,,,,,,,,,2026-05
Friendly,2026-05-26,Morocco,Burundi,5.0,0.0,,,,,,,,,2026-05
Premier League,2026-05-24,Burnley,Wolves,1.0,1.0,7.0,7.0,2.0,2.0,0.0,0.0,16.0,16.0,2026-05
Serie A,2026-05-24,Parma,Sassuolo,1.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,16.0,6.0,2026-05
Serie A,2026-05-24,Lecce,Genoa,1.0,0.0,1.0,6.0,2.0,0.0,0.0,0.0,9.0,8.0,2026-05
Premier League,2026-05-24,Liverpool,Brentford,1.0,1.0,14.0,2.0,2.0,3.0,0.0,0.0,24.0,11.0,2026-05
Premier League,2026-05-24,Man City,Aston Villa,1.0,2.0,9.0,4.0,1.0,0.0,0.0,0.0,16.0,12.0,2026-05
Jupiler Pro League,2026-05-24,Club Brugge,Gent,5.0,0.0,5.0,8.0,0.0,1.0,0.0,0.0,26.0,14.0,2026-05
Jupiler Pro League,2026-05-24,St Truiden,Mechelen,3.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,11.0,7.0,2026-05
Premier League,2026-05-24,Brighton,Man United,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,13.0,11.0,2026-05
Premier League,2026-05-24,Crystal Palace,Arsenal,1.0,2.0,3.0,4.0,0.0,1.0,0.0,0.0,8.0,17.0,2026-05
Premier League,2026-05-24,Fulham,Newcastle,2.0,0.0,6.0,6.0,2.0,2.0,0.0,0.0,21.0,7.0,2026-05
Jupiler Pro League,2026-05-24,St. Gilloise,Anderlecht,5.0,1.0,4.0,1.0,2.0,2.0,0.0,1.0,22.0,9.0,2026-05
Premier League,2026-05-24,Nott'm Forest,Bournemouth,1.0,1.0,6.0,3.0,1.0,1.0,0.0,0.0,15.0,17.0,2026-05
